chr	pos	strand	ProbeID
chr17	48228034	-	cg24768093
chr16	21170428	+	cg09935540
chr19	18271859	-	cg12492496
chr11	66330735	+	cg22851250
chr19	45848320	-	cg17884383
chr9	38619909	-	cg17605235
chr1	156100165	-	cg22017015
chr10	1567872	+	cg12508258
chr13	28365587	+	cg11444278
chr6	160222116	-	cg19045345
chr7	100820291	-	cg05010260
chr3	58222569	+	cg00206999
chr13	40068444	-	cg10337540
chr8	141521446	+	cg08877624
chr3	25824807	-	cg00237565
chr19	58281019	+	cg20751795
chr4	77994145	-	cg17080371
chr8	144361315	-	cg03894796
chr19	4328759	+	cg06776703
chr3	195942993	-	cg00760562
chr17	71635492	+	cg12963319
chr8	12256259	+	cg07350076
chr18	24128874	-	cg20382774
chr2	99193570	-	cg05204898
chr3	180395887	-	cg01003303
chr2	233217617	-	cg25274275
chr2	30144152	+	cg18277754
chr7	4779225	-	cg22581896
chr6	112364987	+	cg07062780
chr17	4871354	-	cg13818368
chr19	59084223	+	cg10219575
chr5	176900792	+	cg07388801
chr2	159440657	-	cg01519865
chr12	39836347	-	cg02181968
chr7	21952937	+	ch.7.558423R
chr6	170418412	+	cg16016640
chr12	54383434	-	cg04981737
chr15	32964500	+	cg14302904
chr16	89626678	+	cg05547654
chr1	22470343	-	cg15582954
chr15	66857133	+	cg15166050
chr1	6320760	-	cg02835494
chr9	17906561	+	cg04812475
chr6	71276461	-	cg26568669
chr7	1989927	+	cg19147804
chr11	791954	-	cg01554951
chr6	32730046	-	cg10298215
chr17	79283095	-	cg08832744
chr12	68051679	-	cg11022791
chrX	135962969	+	cg27138147
chr5	93732031	-	cg07256206
chr8	49547126	-	cg19185414
chr6	143250783	-	cg10369203
chrX	117958532	+	cg01112452
chr5	176730172	+	cg01585985
chr9	138676624	+	cg14002226
chr22	46459890	-	cg18066206
chr17	78865263	+	cg22636722
chr7	76751906	+	cg26033531
chr2	74700246	+	cg20415811
chr11	112097290	-	cg24615831
chr10	134399880	+	cg25394505
chr13	100002990	+	cg26663293
chr1	188058251	-	cg16298457
chr11	76849564	-	cg03908908
chr2	96149768	-	cg00135121
chr14	38058284	+	cg19645221
chr17	6558231	+	cg24686902
chr7	99680280	+	cg00929606
chr4	16084676	-	cg19162333
chr11	130036542	+	cg22110158
chr6	169277107	-	cg06235057
chr8	145879308	+	cg04753829
chr3	238048	+	cg11165881
chr17	47642014	+	cg17592182
chr1	225953697	-	cg17279085
chr3	28373304	+	cg12365907
chr6	53760757	+	cg17384064
chr10	27547536	-	cg02279356
chr3	153974050	-	cg16511985
chr3	142606818	-	cg01537713
chr14	81916652	-	cg24091990
chr7	158622474	+	cg05516986
chr9	132320157	+	cg13789147
chr12	54519825	+	cg21161136
chr1	22214106	+	cg13063658
chr7	68326108	-	cg05002615
chr5	6452065	+	cg26076793
chr8	11623524	+	cg02898412
chr19	48991098	+	cg16685257
chr9	115095043	-	cg14262023
chr16	86553722	+	cg04870483
chr3	128296058	-	cg16208959
chr10	45693967	-	cg04170354
chr2	37570604	+	cg00881168
chr9	126101872	+	cg13871695
chr1	210032146	-	cg23817672
chr6	32806656	+	cg17670640
chr9	86236624	+	cg14219938
chr12	124383505	-	cg03934493
chr11	22569243	-	cg26659572
chr4	154162990	+	cg26396039
chr12	49939540	-	cg08830588
chr20	43592012	+	cg01660613
chr3	138552648	-	cg00738869
chr6	12012551	-	cg10557320
chr8	146018599	-	cg02578312
chr3	49722237	-	cg02863409
chr15	70105522	+	cg10537821
chr3	155588370	-	cg00801868
chr1	22978981	+	cg14041976
chr12	65589446	+	cg05613017
chr10	11912410	-	cg06953130
chr9	133534961	+	cg13465477
chr1	202853701	-	cg23652734
chr17	47784801	+	cg13352650
chr7	4210949	-	cg21530308
chr13	37393154	+	cg00891593
chr6	166746926	+	cg06430632
chr7	124404431	+	cg23799901
chr2	239225457	-	cg05014842
chr7	116311878	-	cg18313221
chr10	102756921	-	cg27255678
chr7	134387568	-	cg05446923
chr5	34656625	-	cg16711694
chr7	2135948	+	cg20309371
chr15	100272751	-	cg01054354
chr15	97491152	-	cg00791024
chr3	53228322	-	cg24383329
chr12	6657949	+	cg15316734
chr5	175541958	+	cg08252384
chr3	13860477	+	cg06653203
chr2	102091048	+	cg16435561
chr12	133172779	-	cg07558209
chr14	90454540	+	cg10068133
chr19	1069320	+	cg10653926
chr11	74207624	-	cg08184027
chr7	79231	+	cg16131866
chr6	30072468	+	cg01249016
chr7	44261120	-	cg26985366
chr2	177134737	+	cg10651537
chr11	591228	+	cg27174862
chr8	982926	+	cg01355932
chr13	48895478	-	cg07880715
chr7	149558421	-	cg08314387
chr6	28072925	+	cg10122326
chr7	56174207	+	cg14577835
chr9	130659670	+	cg13914004
chr2	238387273	-	cg01470578
chr17	55713229	+	cg05560635
chr13	25321336	+	cg01636413
chr16	19467042	+	cg09376129
chr9	136428141	+	cg22731190
chr6	170463167	+	cg04852348
chr2	74571248	+	cg13459852
chr19	622406	-	cg02283353
chr13	108017565	+	cg11542543
chr5	110848575	+	cg23043119
chr17	1372403	-	cg26939227
chr10	45914276	-	cg27608999
chr5	100236783	+	cg18066271
chr2	86949715	+	cg23743911
chr3	49761188	-	cg04370476
chr2	60352976	-	cg06258851
chr11	74660161	+	cg10339200
chr6	41375881	-	cg15305352
chr21	46677779	-	cg08450965
chr8	65291730	-	cg04559779
chr6	30524987	+	cg24322638
chr22	38580953	+	cg03162506
chr12	3069141	+	cg09425708
chr11	91963266	-	cg19228683
chr9	91267411	+	cg03578548
chr8	112241152	+	cg23050227
chr18	61557735	+	cg20875821
chr4	9760275	+	cg21744417
chr17	46653711	+	cg11971423
chr14	57278188	-	cg18451814
chr7	130790359	-	cg00400104
chr11	102962134	+	cg07342790
chr17	15166062	-	cg24997298
chr10	43354963	-	cg02415055
chrX	43738323	-	cg09335829
chr13	37878443	+	ch.13.36776443F
chr19	44503856	+	cg03018562
chr5	177819485	+	cg18158172
chr3	140660432	-	cg23664775
chr11	57157508	-	cg04549076
chr2	45439955	+	cg22388510
chr18	72201775	+	cg15441535
chr8	850121	-	cg09142848
chr7	99141009	-	cg16195430
chr14	92980031	+	cg03485262
chr13	60351803	-	cg16589545
chr1	155035979	-	cg10062530
chr15	57618604	-	cg02926035
chr4	74702075	+	cg22670329
chr7	47783668	-	cg25134328
chr8	144924219	-	cg03405308
chr2	27165719	-	cg02952978
chr17	73577744	+	cg06405563
chr9	21812891	-	cg14548963
chr1	217309970	+	cg12636169
chr12	79812901	-	cg13320585
chr12	14413690	+	cg23348081
chr3	184870705	-	cg14688588
chr17	76040976	+	cg03660034
chr19	21688304	-	cg26494225
chr10	76806873	+	cg01354426
chr22	29834388	+	cg26288779
chr16	67981155	-	cg08677488
chr6	57972721	+	cg22682297
chr15	51559826	+	cg12932492
chr7	73442480	-	cg27360098
chr1	43534324	-	cg02431672
chr15	66790028	-	cg21931676
chr22	36030660	-	cg05976325
chr3	152058521	+	cg07305506
chr1	102462445	-	cg00867391
chr14	70041661	-	cg07529608
chr8	1304992	+	cg07874646
chr3	186560083	-	cg18537894
chr1	3831314	+	cg21861174
chr11	556482	+	cg18169245
chr19	5037219	+	cg07505433
chr7	1308420	+	cg02634628
chr10	43430536	-	cg24480146
chr16	53537293	+	cg03004426
chr1	201124025	-	cg21431091
chr13	28503235	-	cg06883496
chr5	140186580	-	cg26282566
chr1	205601084	+	cg03126043
chr2	198063781	-	cg13941760
chr1	900832	+	cg15648958
chr15	52588736	+	cg27511468
chr10	42608749	-	cg09266080
chr17	61778515	+	cg07836815
chr20	44098285	-	cg21963535
chr19	50149041	-	cg14084692
chr7	138118925	+	cg18008034
chr18	77631636	+	cg14759931
chr11	5475082	-	cg01343192
chr17	19482275	-	cg12550399
chr17	40700509	+	cg07694864
chr10	10837368	+	cg08544209
chr6	25726437	-	cg16898066
chrX	22049984	+	cg10994343
chr1	156830080	+	cg03055346
chr19	39522944	+	cg09464194
chr7	5537036	+	cg20511815
chr16	11438938	-	cg01059290
chr13	36920813	+	cg04117229
chr11	65425983	-	cg08142478
chr6	31633495	-	cg06591447
chr18	24220737	+	cg10539808
chr19	49540864	+	cg03671148
chr15	59279406	+	cg26312935
chr6	41007450	-	cg19175193
chr10	134210861	-	cg22633292
chr3	58555510	-	cg26386826
chr19	7754029	-	cg00828618
chr19	50860847	-	cg26952796
chr1	165415157	-	cg07091781
chr11	129145299	-	cg25558288
chr6	33423122	-	cg19296132
chr1	178007364	+	cg17110006
chr17	66244124	-	cg26244401
chr11	65153842	-	cg06211255
chr1	17848742	+	cg12471051
chr11	2155521	-	cg06029905
chr4	85419494	+	cg08593261
chr19	7853377	-	cg18994062
chr18	11148769	+	cg24362812
chr17	76337667	-	cg23124641
chr16	53114571	+	cg04770195
chr8	140632846	-	cg26426186
chr6	30313174	-	cg26161170
chr11	9333358	-	cg08757628
chr2	38659286	+	cg25718365
chr1	13796840	+	cg05753486
chr1	175525986	+	cg12767196
chr3	49507385	-	cg27212541
chr1	9992130	-	cg00533749
chr20	44035070	-	cg18500556
chr10	129536818	-	cg24718722
chr20	4700144	+	ch.20.4648144R
chr3	180319718	-	cg10459387
chr17	72951218	+	cg13537156
chr1	236444768	-	cg21767703
chr4	79627477	+	cg07909498
chr10	134600277	-	cg17988460
chr7	1300204	-	cg06638935
chr7	156468328	+	cg19499736
chr12	53473279	-	cg05380522
chr11	45714651	+	cg26904260
chr15	40749867	+	cg21127508
chr17	3540414	-	cg12950012
chr3	114866835	-	cg16263825
chr22	24032819	-	cg05266460
chr5	112160748	-	cg07863043
chr22	50530703	-	cg05612422
chr17	80474333	-	cg10761785
chr17	79450925	-	cg21334048
chr5	126220247	-	cg13963033
chr1	53169070	+	cg02892898
chrX	40003547	+	cg12045126
chr17	6899522	-	cg12262378
chr16	85328980	+	cg08762919
chr1	201880363	+	cg21139518
chr1	205561090	-	cg21264372
chr3	12525763	-	cg26405148
chr5	135364568	-	cg15146621
chr17	33307333	+	cg18453874
chr3	10206731	-	cg11029301
chr7	30408819	+	cg02117342
chr5	107614099	-	cg15820400
chr11	70672365	+	cg20843277
chr14	102228216	+	cg23439621
chr14	51994091	+	cg23549641
chr10	85954331	+	cg16678602
chr19	49937176	+	cg02624701
chr1	227015418	-	cg08654091
chr1	164290751	+	cg07789132
chr11	65667116	+	cg13807509
chr6	160675744	+	cg04310488
chr19	30205772	+	cg07288394
chr5	113181729	+	cg04173618
chr8	73848484	+	cg25187049
chr11	3663491	+	cg23438841
chr1	156829008	+	cg18649438
chr15	90543224	+	cg14023999
chr13	19518706	+	cg25631370
chr5	147261629	-	cg26985922
chr19	35645610	+	cg25376238
chr7	157644665	+	cg21280014
chr17	27915972	-	cg22120948
chr5	42944267	-	cg05150023
chr6	75914803	-	cg12801474
chr1	203765292	+	cg07626501
chr19	35645556	+	cg22618240
chr19	35837636	-	cg22514682
chr12	6977084	-	cg26269324
chr15	101818260	-	cg04972384
chr15	25427435	-	cg23841760
chr5	118309902	+	cg11631579
chr6	164393796	+	cg08836375
chr2	234637253	+	cg11272349
chr15	33602821	-	cg12860391
chr6	159660806	+	cg01037362
chr2	121372013	-	cg23960538
chr6	32115221	+	cg13378486
chr17	1787000	-	cg16625402
chr7	148992974	-	cg21144589
chrX	53251773	-	cg22959512
chr11	118763863	+	cg13298528
chr13	29914097	-	cg10617192
chr19	460617	-	cg05537380
chr20	33585849	-	cg12390057
chr3	12705835	+	cg23032965
chr2	8011432	-	cg08700932
chr17	26711596	-	cg02466246
chr10	1336103	-	cg27336068
chr19	42027798	-	cg12064507
chr4	4199531	-	cg21376570
chr6	56956578	+	cg04703800
chr6	25341389	+	cg19938535
chr10	35624429	-	cg04781305
chr7	54074755	+	ch.7.1241660R
chr8	41896277	-	cg01468426
chr5	75013490	-	cg00620449
chr1	65533851	+	cg15620028
chr4	153704527	-	cg15009431
chr6	29396182	+	cg05137103
chr11	82445114	+	cg17584196
chr17	77758580	-	cg18368502
chr17	60138999	-	cg06489586
chr11	9029940	+	cg00572266
chr17	56294088	+	cg10728503
chr15	72613029	-	cg01373151
chr7	150763829	+	cg17497176
chr22	39261722	+	cg07524398
chr11	10408528	+	cg05233155
chr11	119791649	+	cg24750539
chr6	1612301	-	cg16617518
chr4	6306335	-	cg18764836
chr20	52199778	+	cg09228833
chr3	183993571	+	cg08832414
chr5	140571783	+	cg12193927
chr13	91855918	+	cg22237345
chr3	59035407	-	cg06028917
chr13	19957032	+	cg06214334
chr16	49441006	-	cg09536426
chr19	52091761	-	cg22599449
chr6	30710200	+	cg20643094
chrX	35816354	-	cg23247524
chr5	134240255	-	cg25134345
chr6	157099924	+	cg23191292
chr12	8969121	+	cg23171179
chr8	86019648	-	cg01743501
chr8	74902631	-	cg19529842
chr6	32935025	+	cg05111146
chr6	24719235	+	cg02888247
chr5	172359575	-	cg26487948
chr4	138598521	-	cg17902598
chr3	157260627	-	cg08504812
chr13	76123534	-	cg04088650
chr8	56367005	-	cg20437660
chr6	31023592	-	cg01842321
chr17	28648320	-	cg10781870
chr13	21277706	-	cg25189429
chr6	157322468	-	cg11250301
chr15	101420708	+	cg13615592
chr15	47624584	-	cg16425161
chr12	52311706	+	cg08447934
chr1	206593025	-	cg13487476
chrX	153200899	-	cg02232536
chr5	154230141	+	cg26655340
chr6	168435636	+	cg01134139
chr16	56623448	+	cg22655224
chr13	43930401	-	cg10448831
chr9	35657560	+	cg14231674
chr11	125496752	+	cg16687450
chr7	158856818	-	cg24511953
chr19	42437416	+	cg15197135
chrX	135579466	-	cg09923855
chr17	26681583	+	cg23498221
chr3	24262634	+	cg24962827
chr1	171189771	+	cg19300650
chr6	29607758	+	cg23991188
chr1	152183562	+	cg18273593
chr3	9029456	+	cg07451641
chrX	44169621	+	cg16088894
chr7	54766273	-	cg19761458
chr1	165326269	+	cg23971170
chr1	178210950	+	cg19733167
chr8	141577150	+	cg03172341
chr2	163466403	-	cg00588734
chr19	15659711	+	cg19001086
chr6	26271716	+	cg14273822
chr1	11333402	-	cg19085605
chr1	228415374	-	cg01057552
chr3	14345836	-	cg02056794
chr20	443316	-	cg24684468
chr2	71127220	-	cg05164666
chr3	19055533	+	cg24200753
chr4	41258790	-	cg04178266
chr12	128596903	-	cg17025149
chr6	28558070	+	cg12934884
chr4	112709328	-	cg22183243
chr2	183107220	+	cg03135853
chrX	39964229	-	cg20197861
chr1	45241296	+	cg02299542
chr7	36007012	-	cg26108309
chr2	9753939	-	cg10322879
chr17	8090950	-	cg07613459
chr13	50202713	+	cg04638679
chr12	10749762	-	cg19726253
chr17	39183475	+	cg23878404
chr16	54155993	-	cg01083598
chr2	172747482	+	cg00040027
chr2	131484863	-	cg01164664
chr6	28108608	-	cg10306247
chr15	52861409	+	cg08628601
chr12	60298928	+	cg23518497
chr7	98870792	+	cg02185750
chr11	108422936	-	cg07059925
chr1	1214622	-	cg07812848
chr17	17062185	+	cg12489964
chr12	12420514	+	cg16880597
chr7	5610264	+	cg06824181
chr9	138679759	+	cg14310831
chr1	18806854	+	cg01827761
chr15	90039822	-	cg01837657
chrX	47489285	+	cg21648502
chrX	17755642	-	cg07686944
chr20	6514844	-	cg02480675
chr11	5174413	+	cg25310592
chr7	29724905	-	cg12042055
chr19	7937107	-	cg00438215
chr15	99204912	+	cg05169988
chr19	39819001	+	cg19599529
chr16	71496385	-	cg13885201
chr2	29117422	+	cg18986154
chr13	30733388	+	cg21670717
chr10	97515398	+	cg10381771
chr1	3352986	-	cg00063748
chr17	79294196	+	cg03625300
chrX	53468978	-	cg13041595
chr11	20185267	-	cg06457317
chr19	47852455	+	cg26775914
chr8	98116447	+	cg23205034
chr1	110052544	-	cg00791218
chr6	168476860	+	cg14519887
chr16	28305533	+	cg02896250
chr19	31640691	+	cg25432425
chr11	94888121	-	cg25248213
chr3	16883899	-	cg13051263
chr4	184931631	-	cg19345417
chr7	6145105	+	cg06587243
chr17	58096570	+	cg14503521
chr10	94064371	+	cg15928016
chr11	124055251	+	cg22135279
chr17	7143253	-	cg22033559
chr3	125900824	-	cg23141914
chr7	2395427	+	cg07439880
chr1	206848389	-	cg10336193
chr9	139907240	-	cg14398359
chr4	887549	-	cg04824913
chr16	49499613	+	cg00717364
chr1	6341327	-	cg11699125
chr10	135009202	+	cg17755480
chr7	138916732	+	cg14674361
chr7	27199726	-	cg25975690
chr6	157745271	-	cg21420474
chr2	240867059	-	cg00248242
chr12	113516445	+	cg19353052
chr15	80762736	-	cg20658798
chr5	79393266	-	cg15914239
chr2	128144817	-	cg21359254
chr9	135949971	-	cg14173736
chr12	68729045	-	cg11125883
chr18	71811234	-	cg03225548
chr6	36561958	-	cg23798120
chr11	76757171	-	cg23602829
chr8	135697767	+	cg03616827
chr2	224908376	+	cg25341674
chr20	57467268	-	cg13895966
chr16	89882627	-	cg05062674
chr22	16227531	+	cg07917473
chr17	26850910	+	cg06333085
chr1	179557221	-	cg03986311
chr19	709889	-	cg00174901
chr4	10122153	+	cg00378228
chr6	30023548	+	cg17021066
chr5	96038303	-	cg00560574
chr19	38889515	+	cg08257855
chr7	1514623	+	cg00906908
chr10	12238536	+	cg26451923
chr1	53905709	-	cg11683966
chr10	134547188	-	cg04604532
chr11	45715109	+	cg18287642
chr11	830320	-	cg20801007
chr17	1647819	+	cg04780454
chr16	12618485	+	cg07323979
chr17	11145805	+	cg02207554
chr5	41870856	-	cg21515384
chr2	242787064	-	cg01128412
chr6	10425625	-	cg03074925
chr12	14109569	+	cg08931917
chr6	30228083	-	cg27011480
chr4	53815811	-	cg08441269
chr11	117297095	-	cg05074908
chr1	1913544	+	cg10623802
chr14	21851505	-	cg24720630
chr6	32921791	+	cg09713850
chr19	1021716	+	cg21887778
chr3	9291334	-	cg13188385
chr2	220379016	+	cg09726982
chrX	151996001	+	cg04646860
chr12	133383753	+	cg20319945
chr17	48912327	-	cg10408284
chr11	93286170	+	cg00325491
chr12	110788669	-	cg00759707
chr12	58141969	-	cg21648012
chr17	61514920	+	cg06641342
chr10	71336947	+	cg05583020
chr19	9930722	-	cg22921692
chr7	1787194	+	cg01310330
chr15	94768612	-	cg02459016
chr6	44529157	+	cg10953487
chr10	63660195	-	cg26002628
chr19	44642043	-	cg04165835
chr1	23289818	-	cg26413162
chr8	12670236	-	cg22724639
chr3	119399324	-	cg26867465
chr3	149808600	+	cg20725311
chr6	99373813	+	cg12604490
chr2	19563171	+	cg17181167
chr19	6495210	+	cg08441918
chr10	29096857	-	cg11019430
chr6	52628277	-	cg04217215
chr13	112870414	+	cg17221143
chr8	48100429	+	cg02230854
chr8	96281960	+	cg17169333
chrX	109561515	+	cg17959735
chr4	87281281	-	cg17485454
chr18	56932872	+	cg15133018
chr3	58374923	+	cg24175188
chr2	151342091	+	cg02285812
chr1	21948680	+	cg01424901
chr4	153274118	-	cg21987515
chr19	47569185	+	cg18657341
chr6	168120744	-	cg14689595
chr3	197826010	+	cg17762146
chr7	102109247	+	cg07112456
chr15	69099680	+	cg01024668
chr4	99559622	-	cg00398880
chr3	197687709	+	cg24719396
chr1	24126048	-	cg00988350
chr13	60064862	-	cg23065364
chr1	182361507	-	cg09470059
chr6	65779514	-	cg00460691
chr6	134158278	-	cg27406750
chr9	102613887	-	cg13480493
chr12	82153464	-	cg24719984
chr11	124632081	-	cg19477600
chr12	54812085	+	cg03826594
chr17	25872931	+	cg04561005
chr10	3680061	+	cg25773223
chr7	44151172	+	cg00009293
chr5	133562159	-	cg00660400
chr1	15912795	+	cg11656262
chr3	13590720	+	cg12700904
chr7	187333	+	cg20865618
chr4	2792582	-	cg08320703
chr16	85645228	-	cg12551166
chr2	236719876	-	cg21564365
chr6	126661136	+	cg22174408
chr4	57254193	+	cg06649691
chr3	46746779	+	cg23075327
chr10	106075308	-	cg27214047
chr2	145282054	+	cg23923778
chr16	223408	-	cg05956679
chr3	124239629	+	cg13689591
chr19	55721792	+	cg11613450
chr17	70378201	-	cg09359749
chr1	32800350	-	cg00292107
chr2	223520811	-	cg10120925
chr17	19281708	+	cg10457504
chr2	70315011	+	cg24727568
chr16	21171097	+	cg04528038
chr13	99624413	+	cg19252328
chrX	69672415	-	cg02879223
chr2	240298910	-	cg10594414
chr1	206857579	+	cg08055786
chrX	152590495	+	cg10228006
chr6	13194027	+	cg11908041
chr10	3536773	-	cg20170943
chr16	87731543	-	cg06545033
chr7	5570489	-	cg23261233
chr1	156457945	-	cg15723874
chr8	6407997	+	cg23706836
chr15	100891814	+	cg26139402
chr19	46175254	-	cg13320842
chr4	186790675	+	cg24536145
chr11	14995266	+	cg07529966
chr3	185412244	+	cg04420862
chr3	112876728	-	cg19536781
chr7	75623987	+	cg06856563
chr1	16202869	-	cg23216498
chr12	105626788	-	cg01650245
chr12	121146593	-	cg10566578
chr4	26994740	+	cg18777299
chr14	83272320	-	cg14171418
chr1	64936247	+	cg03202416
chr19	48182221	-	cg22412741
chr22	20782138	+	cg04006399
chr8	56685498	-	cg05647005
chr12	88536410	+	cg07990939
chr10	46772151	-	cg00991496
chr11	35965708	-	cg03551456
chr3	134370182	-	cg15474615
chr1	93416982	-	cg08893087
chr22	42078567	+	cg08686092
chr1	25844672	+	cg03538708
chr10	126851303	+	cg00406319
chr1	150981091	+	cg04275985
chrX	70474085	-	cg26764972
chr20	34253242	-	cg03168614
chr22	50898563	-	cg01924481
chr1	86047433	-	cg11750851
chr13	36788722	-	cg26601039
chr1	36915864	-	cg08878450
chr14	67061310	+	cg02317375
chr10	28527847	+	cg07268734
chr17	62084205	+	cg10275770
chr4	57980103	+	cg20990681
chr6	33179949	-	cg12652197
chrX	132351068	+	cg05629323
chr11	102638470	+	cg03367136
chr7	90225873	+	cg08063340
chr1	15256123	-	cg23020600
chr8	1797917	-	cg21757988
chr20	25988266	+	cg20413331
chr4	188953092	-	cg12530864
chr6	99151099	-	cg09203382
chr19	2042592	+	cg26184687
chr4	40198392	-	cg05658107
chr16	31119196	+	cg08328483
chr17	40118738	-	cg24396683
chr13	46953510	+	cg20864734
chr17	55468616	+	cg25225655
chr3	48080464	+	cg13741103
chr2	46498015	-	cg19323703
chr14	105739124	-	cg13192938
chr10	104594691	+	cg18847882
chr19	18717742	+	cg19525602
chr11	62674500	+	cg03192060
chr14	66136078	+	cg19780829
chr6	24495061	+	cg01943813
chr1	116658288	+	cg01963059
chr2	234847856	+	cg23993463
chr20	35201212	+	cg11263351
chr15	78423564	-	cg20761322
chr20	52356911	-	cg11837293
chr13	39199366	-	cg24289524
chr2	233320224	-	cg19371555
chr21	26983958	+	cg23804585
chr15	80216052	-	cg27236825
chr6	151561168	+	cg14219620
chr17	7383333	-	cg20902195
chr17	7211882	-	cg07306232
chr1	18152144	-	cg09821328
chrX	110921097	+	cg03887211
chr15	79282030	+	cg00689534
chr11	68094262	+	cg25393429
chr14	96857745	-	cg10787120
chr1	171451938	+	cg19641284
chr11	62622929	+	cg18039643
chr11	131239234	-	cg26058021
chr6	29520698	-	cg24531536
chr6	31626915	+	cg03540051
chr3	44596665	+	cg19235095
chr11	115027871	+	cg07991055
chr13	114112018	+	cg27284833
chr10	64028664	-	cg21430030
chr1	148933698	+	cg24602093
chr3	11761382	-	cg16777620
chr2	101619230	+	cg10446401
chr19	1816254	-	cg03413810
chr15	101814046	-	cg12397981
chr5	56110263	-	cg23094728
chrX	14547320	-	cg24596823
chr3	49459940	+	cg02251567
chr19	10773698	+	cg05343021
chr10	15515112	+	cg04095097
chr14	102431823	+	cg00658427
chr5	125695687	+	cg26107055
chr19	12786565	-	cg24357849
chr21	45729326	+	cg04643920
chr17	66526694	-	cg20060666
chr12	54402888	+	cg25917510
chr8	105235385	-	cg03206741
chr10	134596943	+	cg05030346
chr17	41529068	+	cg15771579
chr2	48983178	+	cg02776315
chr1	169082848	+	ch.1.3307476R
chr2	241083754	-	cg00256789
chr5	132083105	+	cg07152591
chr17	78576672	-	cg09133154
chr12	5696809	+	cg20663432
chr18	47794792	+	cg19476597
chr6	17519387	-	cg23036213
chr7	2749751	-	cg02156692
chr6	2237336	-	cg21499610
chr17	4871376	-	cg01877879
chr16	69458746	-	cg22067472
chrX	41328787	-	cg18502642
chr13	33161741	-	cg13538685
chr4	56212371	-	cg15083964
chr1	97187140	-	cg03080561
chr9	134267928	-	cg01802596
chr4	99982762	-	cg04395703
chr3	126751404	-	cg09684147
chr11	3186804	-	cg20345446
chrX	102602857	-	cg06070578
chr13	25620993	-	cg11885221
chr3	44957542	-	cg15477500
chr13	27998191	-	cg25877436
chr9	130270004	+	cg03270036
chr17	26835115	+	cg13568106
chr17	21903945	+	cg13541588
chr15	45997064	+	cg14863074
chr22	50728534	+	cg14737704
chr19	1762710	-	cg25415246
